ticker,ticker_cnt,industry,beta,sector
WINR,10,Electronic Gaming & Multimedia,0.170795,Communication Services
FNGR,10,Telecom Services,2.053153,Communication Services
BZH,10,Residential Construction,2.05147,Consumer Cyclical
MLAB,10,Scientific & Technical Instruments,0.439705,Technology
CLCN,10,Education & Training Services,,Consumer Defensive
CLX,10,Household & Personal Products,0.205882,Consumer Defensive
AKTS,10,Communication Equipment,1.320588,Technology
CMGR,10,Entertainment,5.494117,Communication Services
WOLV,10,Other Industrial Metals & Mining,,Basic Materials
EDUC,10,Publishing,0.953431,Communication Services
LRDC,10,Oil & Gas E&P,-0.019607,Energy
BMRA,10,Medical Devices,-0.675,Healthcare
ENRT,10,Other Industrial Metals & Mining,-0.3,Basic Materials
CMXC,10,Medical Devices,0.523529,Healthcare
PAXH,10,Health Information Services,-1.080882,Healthcare
HAE,10,Medical Instruments & Supplies,0.292156,Healthcare
RVIV,10,Household & Personal Products,-1.50385,Consumer Defensive
BZYR,10,Biotechnology,0.742647,Healthcare
JCTCF,10,Lumber & Wood Production,0.330392,Basic Materials
TMRC,10,Other Industrial Metals & Mining,0.894607,Basic Materials
NBHC,10,Banks—Regional,0.889215,Financial Services
SCSC,10,Electronics & Computer Distribution,1.553431,Technology
CLSH,10,Drug Manufacturers—Specialty & Generic,1.786274,Healthcare
BTTR,10,Packaged Foods,-0.528445,Consumer Defensive
SBH,10,Specialty Retail,1.417647,Consumer Cyclical
RMCF,10,Confectioners,1.12549,Consumer Defensive
QCOM,10,Semiconductors,1.22598,Technology
EDSA,10,Biotechnology,1.393158,Healthcare
ENR,10,Electrical Equipment & Parts,1.109313,Industrials
AMSC,10,Specialty Industrial Machinery,1.209313,Industrials
NRIS,10,Oil & Gas E&P,-0.127941,Energy
RMD,10,Medical Instruments & Supplies,0.325,Healthcare
TSRI,10,Software—Application,0.862254,Technology
MATW,10,Conglomerates,1.108333,Industrials
PRSI,10,Lodging,0.290196,Consumer Cyclical
GHM,10,Specialty Industrial Machinery,0.785784,Industrials
MOG-A,10,Aerospace & Defense,1.370098,Industrials
APD,10,Specialty Chemicals,0.886764,Basic Materials
MCK,10,Medical Distribution,0.716666,Healthcare
CMPR,10,Advertising Agencies,1.537205,Communication Services
AVT,10,Electronics & Computer Distribution,1.29375,Technology
LUB,10,Restaurants,1.179017,Consumer Cyclical
HAYN,10,Metal Fabrication,1.3375,Industrials
ADP,10,Staffing & Employment Services,0.848039,Industrials
CRS,10,Metal Fabrication,1.77549,Industrials
V,10,Credit Services,0.921568,Financial Services
CRUS,10,Semiconductors,0.885294,Technology
HOLX,10,Medical Instruments & Supplies,1.122058,Healthcare
AGYS,10,Software—Application,1.363725,Technology
HP,10,Oil & Gas Drilling,1.939215,Energy
EZPW,10,Credit Services,1.388725,Financial Services
AAPL,10,Consumer Electronics,,Technology
JBSS,10,Packaged Foods,0.213725,Consumer Defensive
KLIC,10,Semiconductor Equipment & Materials,1.255882,Technology
WAFD,10,Banks—Regional,0.757843,Financial Services
INTG,10,Lodging,0.511274,Consumer Cyclical
SRDX,10,Medical Devices,1.017647,Healthcare
AZPN,10,Software—Application,1.307352,Technology
EAT,10,Restaurants,2.484803,Consumer Cyclical
PMPG,10,Shell Companies,2.463725,Financial Services
DLB,10,Information Technology Services,1.057843,Technology
BERY,10,Packaging & Containers,1.329901,Consumer Cyclical
PLXS,10,Electronic Components,1.17647,Technology
POST,10,Packaged Foods,0.711274,Consumer Defensive
CACI,10,Information Technology Services,0.943137,Technology
BAH,10,Consulting Services,0.703921,Industrials
KOSS,10,Consumer Electronics,-1.889705,Technology
SENEA,10,Packaged Foods,0.721568,Consumer Defensive
NFG,10,Oil & Gas Integrated,0.723039,Energy
GENC,10,Farm & Heavy Construction Machinery,0.611764,Industrials
TTEK,10,Engineering & Construction,0.858333,Industrials
PATI,10,Trucking,0.435294,Industrials
NXGN,10,Health Information Services,1.17647,Healthcare
IMCI,10,Information Technology Services,0.736764,Technology
JCI,10,Engineering & Construction,1.169117,Industrials
APPS,10,Software—Application,2.219607,Technology
